timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1681997371570,1019,Get,200,OK,Emilia_homework_thread_group 1-1,text,false,"The operation lasted too long: It took 1,019 milliseconds, but should not have lasted longer than 500 milliseconds.",28493,253,1,1,https://jsonplaceholder.typicode.com/posts,989,0,925
1681997372595,227,Post,201,Created,Emilia_homework_thread_group 1-1,text,true,,1086,254,1,1,https://jsonplaceholder.typicode.com/posts,227,0,0
1681997372823,232,Put,200,OK,Emilia_homework_thread_group 1-1,text,true,,949,267,1,1,https://jsonplaceholder.typicode.com/posts/1,232,0,0
1681997373056,219,Patch,200,OK,Emilia_homework_thread_group 1-1,text,true,,1239,223,1,1,https://jsonplaceholder.typicode.com/posts/1,219,0,0
1681997373276,231,Delete,200,OK,Emilia_homework_thread_group 1-1,text,true,,953,219,1,1,https://jsonplaceholder.typicode.com/posts/1,231,0,0
1681997373508,63,Get,200,OK,Emilia_homework_thread_group 1-1,text,true,,28503,253,1,1,https://jsonplaceholder.typicode.com/posts,42,0,0
1681997373572,224,Post,201,Created,Emilia_homework_thread_group 1-1,text,true,,1084,254,1,1,https://jsonplaceholder.typicode.com/posts,224,0,0
1681997373797,227,Put,200,OK,Emilia_homework_thread_group 1-1,text,true,,961,267,1,1,https://jsonplaceholder.typicode.com/posts/1,227,0,0
1681997374025,230,Patch,200,OK,Emilia_homework_thread_group 1-1,text,true,,1237,223,1,1,https://jsonplaceholder.typicode.com/posts/1,230,0,0
1681997374256,231,Delete,200,OK,Emilia_homework_thread_group 1-1,text,true,,953,219,1,1,https://jsonplaceholder.typicode.com/posts/1,231,0,0
1681997374488,49,Get,200,OK,Emilia_homework_thread_group 1-1,text,true,,28505,253,1,1,https://jsonplaceholder.typicode.com/posts,39,0,0
1681997374537,221,Post,201,Created,Emilia_homework_thread_group 1-1,text,true,,1082,254,1,1,https://jsonplaceholder.typicode.com/posts,221,0,0
1681997374759,372,Put,200,OK,Emilia_homework_thread_group 1-1,text,true,,953,267,1,1,https://jsonplaceholder.typicode.com/posts/1,372,0,0
1681997375132,229,Patch,200,OK,Emilia_homework_thread_group 1-1,text,true,,1239,223,1,1,https://jsonplaceholder.typicode.com/posts/1,229,0,0
1681997375362,224,Delete,200,OK,Emilia_homework_thread_group 1-1,text,true,,945,219,1,1,https://jsonplaceholder.typicode.com/posts/1,224,0,0
